Taiwan,2/17/2022,269415
Central African Republic,2/17/2022,
Ecuador,1/11/2022,102934
Comoros,1/16/2022,609
Brazil,1/25/2022,1117509
Northern Ireland,1/27/2022,2888
Vanuatu,1/18/2022,736
Cape Verde,1/24/2022,2853
Ghana,1/26/2022,84487
Slovakia,1/8/2022,24942
Botswana,1/26/2022,2733
Kosovo,1/10/2022,2690
Oman,1/17/2022,11708
Liberia,1/21/2022,1580
Qatar,1/14/2022,18480
Solomon Islands,2/1/2022,992
New Zealand,1/30/2022,58432
Kyrgyzstan,1/19/2022,8917
South America,1/28/2022,2847758
World,1/31/2022,22956951
Saint Kitts and Nevis,1/9/2022,84
Oceania,2/4/2022,236843
Greece,2/11/2022,35183
Croatia,1/7/2022,12168
Tunisia,1/14/2022,17269
Africa,2/19/2022,1096585
Portugal,1/9/2022,68237
Curacao,1/17/2022,613
Libya,1/4/2022,8911
Bolivia,2/12/2022,29535
Togo,2/17/2022,
South Sudan,2/1/2022,3398
Djibouti,1/29/2022,593
Hong Kong,1/19/2022,38241
New Caledonia,2/10/2022,120
South Sudan,1/1/2022,810
Upper middle income,2/16/2022,9809773
Egypt,2/5/2022,298194
Italy,1/19/2022,627313
Ethiopia,2/1/2022,344
Cuba,2/7/2022,41320
Europe,2/20/2022,1204102
Mozambique,1/8/2022,188521
Slovakia,2/8/2022,4056
Northern Ireland,1/16/2022,6185
Iraq,2/9/2022,40689
Qatar,1/2/2022,8311
Russia,1/7/2022,112537
Malawi,2/4/2022,1722
Africa,2/2/2022,1276222
Argentina,1/30/2022,320174
Colombia,1/8/2022,244682
Ethiopia,1/13/2022,401
Morocco,2/9/2022,54247
Andorra,1/8/2022,865
Algeria,2/3/2022,16222
Nepal,1/30/2022,272533
Maldives,2/13/2022,2541
Bermuda,1/20/2022,125
France,2/14/2022,185095
Senegal,1/13/2022,4472
Liberia,1/8/2022,10161
Japan,1/21/2022,161301
New Zealand,2/2/2022,44625
Panama,2/9/2022,14505
Germany,1/9/2022,590582
Cote d'Ivoire,1/15/2022,14152
Italy,1/22/2022,576018
Italy,1/18/2022,641968
Gibraltar,1/26/2022,110
Brunei,1/5/2022,4318
Burundi,1/19/2022,59
Moldova,2/14/2022,5897
Kosovo,2/7/2022,2320
Guernsey,1/14/2022,220
North America,1/6/2022,1569649
Tajikistan,1/25/2022,31090
Jamaica,2/3/2022,2551
New Caledonia,2/7/2022,91
Dominican Republic,1/29/2022,32971
Mali,2/14/2022,
Maldives,2/15/2022,2140
Guyana,2/10/2022,1428
Malta,2/17/2022,1039
Ukraine,1/4/2022,58526
Bolivia,1/22/2022,59068
Mali,2/9/2022,
Bolivia,2/2/2022,39078
Jamaica,1/8/2022,3957
North Macedonia,1/12/2022,1615
Equatorial Guinea,1/6/2022,49
Grenada,1/10/2022,181
San Marino,1/11/2022,159
Canada,1/13/2022,369777
Norway,1/18/2022,51521
Qatar,2/13/2022,16096
Armenia,1/22/2022,9995
Egypt,2/6/2022,308380
Macao,1/10/2022,2121
Georgia,1/24/2022,5126
Timor,1/2/2022,1006
Scotland,2/3/2022,7592
Jordan,1/12/2022,35491
Fiji,1/2/2022,384
Fiji,1/10/2022,345
Slovakia,2/3/2022,5566
Guyana,2/19/2022,1253
Cape Verde,1/4/2022,968
Iceland,1/13/2022,3012
Indonesia,2/11/2022,1252137
Romania,1/3/2022,15882
Bangladesh,1/28/2022,890031
Thailand,2/7/2022,257594
New Caledonia,1/30/2022,175
Norway,1/9/2022,52547
Mongolia,1/24/2022,4070
Albania,1/16/2022,6089
Vietnam,2/2/2022,295060
Chile,2/5/2022,50256
Paraguay,1/27/2022,10936
Burundi,2/3/2022,64
Lower middle income,1/20/2022,12636763
Timor,1/27/2022,1333
Netherlands,2/11/2022,21353
Guatemala,2/5/2022,54318
Cuba,2/3/2022,54927
World,1/24/2022,28469221
Senegal,1/2/2022,459
Dominica,1/29/2022,59
Sweden,2/9/2022,47532
Norway,1/3/2022,18309
Saint Vincent and the Grenadines,1/14/2022,82
France,1/20/2022,410680
South Korea,2/12/2022,198449
Philippines,1/20/2022,710839
Scotland,1/9/2022,23367
Cambodia,1/23/2022,121275
Kenya,2/1/2022,117923
Taiwan,1/27/2022,337612
United States,2/7/2022,470127
Gibraltar,1/12/2022,81
Portugal,1/11/2022,62782
Togo,1/18/2022,4911
Libya,1/25/2022,10511
Burundi,2/1/2022,62
Brunei,1/15/2022,3230
Democratic Republic of Congo,1/1/2022,7108
Montserrat,2/3/2022,6
Anguilla,1/20/2022,29
Rwanda,1/2/2022,125475
Haiti,1/7/2022,344
Sri Lanka,1/4/2022,84046
Liechtenstein,2/10/2022,55
Low income,1/23/2022,1097131
Rwanda,1/11/2022,127901
Kiribati,1/19/2022,330
Latvia,2/15/2022,2563
Dominican Republic,1/9/2022,18015
Gambia,1/15/2022,2299
Uganda,1/21/2022,29203
Kosovo,2/4/2022,2851
North America,1/15/2022,2405344
Lower middle income,1/6/2022,13425634
Mexico,2/2/2022,681660
Yemen,2/9/2022,1930
Mali,1/1/2022,5318
Wales,1/28/2022,5944
Kuwait,1/12/2022,12609
Guyana,1/19/2022,1870
Uruguay,1/18/2022,21961
Saudi Arabia,1/5/2022,212638
Guernsey,1/15/2022,198
Moldova,1/1/2022,3748
Philippines,1/31/2022,430486
Samoa,1/12/2022,69
Slovakia,2/7/2022,4285
Trinidad and Tobago,1/2/2022,2593
Tajikistan,1/31/2022,46070
Upper middle income,1/3/2022,13396005
Papua New Guinea,1/23/2022,693
Indonesia,2/10/2022,1252137
United Arab Emirates,2/17/2022,21377
Greenland,1/31/2022,9
Panama,2/7/2022,14637
Venezuela,1/21/2022,126261
Papua New Guinea,1/3/2022,459
Greece,1/29/2022,41349
Macao,1/20/2022,2561
Gibraltar,1/5/2022,17
Poland,2/7/2022,88832
Georgia,1/2/2022,7367
Uruguay,2/3/2022,11796
Vietnam,1/9/2022,1097265
Jamaica,1/28/2022,2429
South Africa,1/30/2022,57785
Malta,1/21/2022,3764
Russia,1/5/2022,84074
Grenada,1/23/2022,125
Upper middle income,1/9/2022,11275842
Macao,2/8/2022,1023
Barbados,1/3/2022,209
Switzerland,2/12/2022,10871
Uganda,1/25/2022,32000
Iran,1/6/2022,424468
Guinea-Bissau,1/2/2022,132
Turks and Caicos Islands,2/7/2022,70
Belarus,1/16/2022,59185
Hong Kong,2/14/2022,79867
United Kingdom,1/13/2022,216703
Cambodia,2/5/2022,36325
Aruba,1/3/2022,55
Guatemala,1/20/2022,88940
Belize,1/29/2022,760
European Union,1/11/2022,3175246
Nauru,1/6/2022,0
China,1/12/2022,6604571
Benin,1/28/2022,14887
Montserrat,1/7/2022,5
Guernsey,2/12/2022,87
Grenada,2/18/2022,51
Mauritania,1/23/2022,5532
Estonia,2/19/2022,1070
Bahrain,1/15/2022,4890
El Salvador,1/30/2022,8938
Africa,2/14/2022,1236590
Sint Maarten (Dutch part),1/3/2022,15
Russia,2/9/2022,266485
Estonia,2/16/2022,1129
Libya,1/14/2022,16651
Niger,1/15/2022,6053
Hong Kong,1/27/2022,44385
Nicaragua,1/19/2022,38236
European Union,1/29/2022,1973639
Sri Lanka,2/19/2022,59474
Mozambique,1/1/2022,102990
Saint Vincent and the Grenadines,1/30/2022,130
South Africa,1/16/2022,84755
Israel,1/14/2022,67303
Libya,2/6/2022,10521
Cote d'Ivoire,1/8/2022,19882
British Virgin Islands,2/1/2022,7
Slovakia,1/31/2022,6617
Belgium,1/20/2022,83336
Kuwait,1/25/2022,13538
Pakistan,1/21/2022,629403
Bahrain,2/1/2022,2581
Malaysia,2/11/2022,133427
Cook Islands,1/29/2022,6
Ghana,1/23/2022,108548
Wales,2/8/2022,3452
Venezuela,1/5/2022,126261
Gibraltar,2/7/2022,82
Suriname,1/9/2022,369
Azerbaijan,2/11/2022,34401
Montenegro,1/29/2022,477
Ukraine,2/8/2022,59101
Wallis and Futuna,1/9/2022,7
Cuba,1/5/2022,74791
Greenland,1/25/2022,31
France,1/28/2022,268268
Egypt,2/7/2022,288769
Libya,1/23/2022,9550
Timor,2/12/2022,676
Cook Islands,1/3/2022,14
Gibraltar,1/14/2022,124
Libya,2/9/2022,9384
Maldives,2/12/2022,2801
Hong Kong,2/9/2022,58429
Sierra Leone,1/31/2022,13706
Ghana,1/2/2022,59476
World,1/29/2022,25315841
Haiti,1/26/2022,1607
Mexico,1/12/2022,488625
South America,1/24/2022,2064682
Andorra,1/5/2022,865
Bhutan,1/24/2022,29717
United Kingdom,2/2/2022,89672
Australia,2/8/2022,200160
Israel,1/5/2022,39021
Sierra Leone,2/6/2022,6243
Saudi Arabia,2/3/2022,225047
Morocco,1/5/2022,70620
Canada,1/22/2022,302170
Kuwait,1/13/2022,13444
Sint Maarten (Dutch part),1/16/2022,672
Yemen,1/21/2022,3869
Vietnam,1/17/2022,1072972
Samoa,2/6/2022,401
Australia,1/27/2022,238946
Anguilla,1/15/2022,22
Taiwan,1/15/2022,175774
Poland,2/2/2022,109672
Japan,2/11/2022,659010
Qatar,2/4/2022,24881
Ukraine,1/15/2022,78446
Upper middle income,1/17/2022,10326623
Croatia,1/25/2022,10218
Georgia,1/15/2022,8300
Saudi Arabia,1/26/2022,237155
Philippines,2/17/2022,410154
Maldives,2/16/2022,1992
Malaysia,1/11/2022,206612
England,1/20/2022,105979
Costa Rica,1/20/2022,15281
Lebanon,2/10/2022,9971
Malaysia,1/25/2022,205629
Greenland,1/8/2022,32
Nepal,1/21/2022,217412
Cayman Islands,1/3/2022,226
Croatia,2/11/2022,4104
European Union,2/3/2022,1636127
North Macedonia,1/30/2022,1128
Slovakia,2/1/2022,6266
Jersey,1/12/2022,426
Greenland,1/18/2022,51
Bhutan,2/2/2022,4203
Finland,2/13/2022,19916
Taiwan,2/5/2022,35525
Oceania,2/7/2022,258820
Netherlands,2/7/2022,28390
Eswatini,2/3/2022,1605
Trinidad and Tobago,1/16/2022,2750
Switzerland,2/10/2022,12368
Wallis and Futuna,1/10/2022,7
England,2/18/2022,48481
High income,2/18/2022,2958842
North America,1/14/2022,2509112
Belize,2/18/2022,304
Malaysia,2/17/2022,154533
Zambia,1/9/2022,19201
Azerbaijan,1/27/2022,21289
Burkina Faso,1/13/2022,7399
Europe,1/15/2022,3906217
Sweden,2/5/2022,56693
Trinidad and Tobago,1/6/2022,3054
Mexico,1/25/2022,721097
Slovenia,2/15/2022,2099
Djibouti,1/25/2022,572
Barbados,1/19/2022,258
Finland,2/1/2022,46440
Nigeria,1/3/2022,127972
Lower middle income,2/15/2022,9432391
Chile,1/21/2022,72213
Bulgaria,2/10/2022,6107
Paraguay,1/31/2022,17195
Cuba,2/17/2022,19900
Panama,1/12/2022,23401
Ethiopia,1/23/2022,900
Grenada,2/8/2022,68
Dominica,1/30/2022,74
Faeroe Islands,2/10/2022,33
Vanuatu,1/16/2022,736
Dominica,1/15/2022,40
Vietnam,2/9/2022,352956
Iran,1/29/2022,398808
Equatorial Guinea,1/18/2022,215
Egypt,2/1/2022,257447
Oceania,2/11/2022,240068
Ethiopia,1/8/2022,5787
Uganda,1/1/2022,136612
Faeroe Islands,2/1/2022,104
Myanmar,1/15/2022,182162
Ghana,2/10/2022,84487
Kyrgyzstan,2/13/2022,8795
Ukraine,1/14/2022,76615
Honduras,2/4/2022,21412
Cook Islands,1/27/2022,6
Cayman Islands,2/9/2022,25
Egypt,1/18/2022,308736
Nigeria,1/10/2022,247034
Kosovo,2/2/2022,3411
Finland,1/7/2022,43024
Tunisia,1/21/2022,22490
United States,1/28/2022,693212
North America,1/10/2022,2402178
Cyprus,2/12/2022,2432
Israel,1/25/2022,14231
England,1/18/2022,118387
Kazakhstan,1/6/2022,12742
South America,1/29/2022,2822245
Dominican Republic,1/19/2022,22008
Morocco,2/13/2022,60436
Oceania,1/2/2022,91927
Tunisia,1/17/2022,17951
Hungary,1/1/2022,10347
Albania,2/16/2022,3746
Vietnam,2/6/2022,202490
Finland,2/11/2022,23092
Italy,1/5/2022,465848
Dominican Republic,1/27/2022,22787
Tunisia,2/18/2022,7453
Aruba,1/4/2022,27
Grenada,1/21/2022,128
Aruba,1/30/2022,58
El Salvador,1/5/2022,7702
Kosovo,2/12/2022,1225
Oceania,2/13/2022,234284
Netherlands,1/21/2022,81304
United States,2/9/2022,446524
Finland,1/3/2022,38449
El Salvador,1/8/2022,11298
Pakistan,2/5/2022,1249051
Mozambique,1/7/2022,148663
Central African Republic,1/2/2022,3596
High income,1/11/2022,6684044
Zimbabwe,1/9/2022,12119
Nigeria,1/23/2022,219248
Uganda,1/18/2022,29203
Paraguay,2/5/2022,27119
Lower middle income,2/17/2022,8562286
France,1/8/2022,630685
Upper middle income,1/5/2022,11500151
Central African Republic,1/8/2022,3596
Bangladesh,1/1/2022,829757
Belgium,1/27/2022,49443
South Africa,2/7/2022,53486
United Arab Emirates,1/18/2022,29367
Dominica,1/26/2022,46
Libya,1/16/2022,12379
Switzerland,2/2/2022,21139
Serbia,1/8/2022,758
Ethiopia,1/15/2022,1166
Antigua and Barbuda,2/1/2022,30
Estonia,1/24/2022,3462
South Korea,2/15/2022,185890
Haiti,1/30/2022,2150
Uganda,1/17/2022,29203
Northern Ireland,1/6/2022,6274
Namibia,2/7/2022,846
Aruba,2/18/2022,54
Bahrain,1/14/2022,4997
Oman,2/6/2022,13590
Kuwait,1/9/2022,11895
Armenia,2/3/2022,6764
Sint Maarten (Dutch part),1/13/2022,767
Oceania,2/1/2022,254188
Belize,1/22/2022,691
Papua New Guinea,1/12/2022,577
Bulgaria,1/24/2022,11932
Mongolia,2/4/2022,706
Nauru,1/11/2022,0
England,1/4/2022,218730
Cyprus,1/17/2022,5881
Estonia,1/16/2022,4665
Cambodia,1/31/2022,65971
Albania,2/2/2022,16474
Portugal,1/8/2022,62622
Mongolia,2/7/2022,506
Northern Ireland,1/7/2022,7081
Mongolia,1/3/2022,3367
Hungary,1/30/2022,24110
Kyrgyzstan,2/12/2022,8490
Qatar,1/17/2022,18567
Wales,1/1/2022,20870
Comoros,1/25/2022,609
Suriname,2/9/2022,144
Vietnam,1/10/2022,1147290
Netherlands,2/3/2022,34714
Mongolia,1/13/2022,4298
Belgium,1/4/2022,61017
Ecuador,1/22/2022,85174
Lower middle income,2/4/2022,9830218
Senegal,1/18/2022,4472
Greenland,2/1/2022,9
Australia,1/11/2022,239447
South Sudan,1/28/2022,2872
Switzerland,1/21/2022,47638
Belize,1/15/2022,803
Georgia,2/9/2022,3966
Andorra,1/9/2022,865
Uruguay,2/19/2022,4251
Bhutan,2/3/2022,3930
Slovenia,2/3/2022,3028
Anguilla,1/17/2022,25
Albania,1/28/2022,5471
Northern Ireland,1/22/2022,4104
Liberia,2/3/2022,1580
Kenya,2/7/2022,218627
United Arab Emirates,1/11/2022,28564
Asia,1/29/2022,16360764
Greece,2/17/2022,27134
Kyrgyzstan,2/18/2022,10399
Bulgaria,2/11/2022,5829
Tanzania,1/8/2022,33124
Maldives,1/17/2022,1484
Lower middle income,1/21/2022,13443421
Costa Rica,1/9/2022,19245
Bolivia,1/12/2022,87735
Sint Maarten (Dutch part),2/11/2022,59
New Caledonia,1/4/2022,183
China,2/15/2022,5835286
United Arab Emirates,2/18/2022,20752
Bhutan,2/4/2022,3657
Spain,1/8/2022,178485
Guernsey,1/4/2022,1747
Lebanon,2/9/2022,10489
Czechia,1/6/2022,54814
Djibouti,1/18/2022,602
Tajikistan,1/10/2022,65092
Guinea,1/11/2022,6924
Egypt,2/9/2022,249547
Macao,2/14/2022,2225
Tunisia,2/8/2022,5814
England,1/1/2022,225087
Austria,1/27/2022,28838
Saudi Arabia,1/6/2022,208453
European Union,1/3/2022,2285276
Bangladesh,1/8/2022,829757
Isle of Man,1/13/2022,275
Jordan,1/23/2022,24809
El Salvador,2/4/2022,7988
Cape Verde,2/6/2022,2521
Qatar,1/10/2022,13324
Greenland,1/26/2022,26
Grenada,1/22/2022,127
Suriname,1/26/2022,165
Serbia,2/10/2022,3229
Syria,1/31/2022,2829
Czechia,2/19/2022,9034
Vietnam,1/13/2022,1111945
Portugal,1/15/2022,71424
Africa,2/16/2022,1028518
Italy,2/19/2022,158970
Ukraine,1/17/2022,76653
Thailand,2/3/2022,280988
Montserrat,1/11/2022,31
Trinidad and Tobago,2/9/2022,1597
Guatemala,1/3/2022,22141
Kyrgyzstan,1/3/2022,4597
Tunisia,1/2/2022,47796
North Macedonia,1/8/2022,1615
El Salvador,1/25/2022,10304
Fiji,1/1/2022,384
Colombia,2/5/2022,218935
Rwanda,1/24/2022,125016
Oceania,1/6/2022,167122
Malawi,2/18/2022,2617
Czechia,1/30/2022,32546
Canada,2/10/2022,137091
High income,1/1/2022,4939337
Dominica,2/9/2022,23
Sierra Leone,1/14/2022,14555
Uzbekistan,1/30/2022,3947
Moldova,1/8/2022,2926
Armenia,2/4/2022,5981
Cote d'Ivoire,2/2/2022,57941
Angola,1/18/2022,134258
Yemen,1/6/2022,1926
Germany,1/8/2022,586198
Saudi Arabia,2/6/2022,221131
Tajikistan,1/12/2022,65092
Maldives,1/31/2022,3000
Guatemala,2/15/2022,45073
Gabon,1/12/2022,3128
Barbados,1/15/2022,270
Burundi,1/29/2022,62
Europe,2/6/2022,1896291
South Africa,1/26/2022,65312
Tajikistan,1/7/2022,58244
Samoa,1/19/2022,158
Anguilla,1/24/2022,29
Slovenia,2/2/2022,2916
Belgium,2/2/2022,35442
Honduras,1/10/2022,21059
South America,2/10/2022,2211691
Maldives,1/20/2022,2234
Egypt,1/1/2022,424464
Asia,2/14/2022,17409102
Sierra Leone,1/25/2022,32362
Belgium,2/16/2022,33700
Barbados,2/7/2022,134
Panama,1/16/2022,25236
Isle of Man,1/30/2022,117
Turks and Caicos Islands,2/11/2022,0
Paraguay,1/1/2022,30476
Nepal,1/18/2022,224948
Finland,1/8/2022,36863
Laos,2/9/2022,48048
Vietnam,2/8/2022,306802
British Virgin Islands,1/9/2022,15
Jamaica,1/5/2022,2050
Tonga,1/3/2022,436
Hong Kong,1/11/2022,39814
Tunisia,1/20/2022,20541
Iran,2/9/2022,447013
Panama,2/12/2022,14149
Chile,1/11/2022,102380
United Kingdom,1/2/2022,292772
Bulgaria,1/25/2022,10745
Lebanon,1/9/2022,26216
British Virgin Islands,1/13/2022,22
French Polynesia,1/20/2022,578
Libya,1/22/2022,8899
Oman,1/10/2022,11708
San Marino,1/4/2022,183
Europe,1/25/2022,2866344
Algeria,1/10/2022,21679
Northern Ireland,2/11/2022,2230
Finland,1/30/2022,43611
Democratic Republic of Congo,1/27/2022,9072
South America,2/12/2022,2197017
Macao,2/10/2022,1530
Liberia,2/2/2022,1580
Jersey,1/1/2022,669
Cayman Islands,1/1/2022,226
Chad,1/16/2022,2544
North America,2/11/2022,1174449
Laos,1/26/2022,48048
Bermuda,2/6/2022,181
Honduras,1/23/2022,41835
Mexico,1/10/2022,444046
Gabon,1/11/2022,3128
Bahamas,1/17/2022,497
Lithuania,2/10/2022,1610
Mauritania,2/4/2022,4508
Malawi,2/7/2022,1154
Turks and Caicos Islands,1/12/2022,122
Uganda,2/17/2022,
Switzerland,1/7/2022,61111
Bahamas,1/6/2022,623
Montenegro,1/23/2022,631
Malaysia,1/26/2022,196924
Canada,1/25/2022,290515
Angola,1/15/2022,104233
Ecuador,2/15/2022,71954
Ghana,1/21/2022,156671
Oceania,1/25/2022,342687
Nigeria,1/6/2022,144461
Jamaica,2/16/2022,1970
North America,2/7/2022,1424534
Burundi,2/7/2022,69
Uganda,1/6/2022,136612
Northern Ireland,1/28/2022,2645
Antigua and Barbuda,2/2/2022,18
Qatar,2/2/2022,26507
Cook Islands,1/31/2022,6
Tajikistan,2/3/2022,44138
Sudan,1/25/2022,10873
Malta,2/2/2022,1764
Aruba,1/31/2022,54
Sweden,1/5/2022,26694
Djibouti,1/1/2022,608
Asia,1/24/2022,18745735
Jordan,1/13/2022,35491
Grenada,2/3/2022,87
Liberia,2/8/2022,1580
Saint Lucia,2/10/2022,68
Greenland,1/6/2022,20
Nepal,1/3/2022,219116
Bulgaria,1/26/2022,9681
Sweden,1/25/2022,74580
Bhutan,1/12/2022,157
Austria,2/9/2022,18404
Turkey,1/7/2022,567435
Cook Islands,2/2/2022,6
South America,2/1/2022,2703996
Honduras,1/30/2022,21412
Ethiopia,2/9/2022,65
Low income,1/24/2022,980914
Belize,1/25/2022,738
Luxembourg,2/3/2022,2606
Mauritania,2/10/2022,3761
Canada,2/2/2022,221498
Saudi Arabia,1/14/2022,189615
Scotland,2/8/2022,5873
Suriname,1/12/2022,383
Liechtenstein,1/8/2022,256
Afghanistan,1/14/2022,13458
Belgium,2/1/2022,36819
Guinea-Bissau,1/19/2022,186
Malta,1/19/2022,4469
Isle of Man,1/23/2022,123
Togo,1/12/2022,4817
Argentina,1/26/2022,374461
Botswana,1/21/2022,2733
Timor,1/15/2022,1175
Greenland,2/5/2022,9
Australia,1/14/2022,272214
Italy,2/4/2022,406030
Ecuador,2/4/2022,57547
Portugal,1/12/2022,63611
Upper middle income,1/31/2022,8727308
Luxembourg,1/6/2022,4741
Fiji,2/3/2022,243
Somalia,1/10/2022,5028
Colombia,1/11/2022,237837
Mexico,1/21/2022,577821
Curacao,1/16/2022,782
England,2/19/2022,45738
Bulgaria,1/8/2022,21249
Argentina,2/6/2022,265151
Faeroe Islands,2/9/2022,44
Botswana,1/4/2022,2733
Dominica,2/3/2022,114
Switzerland,1/11/2022,69501
Solomon Islands,1/24/2022,1154
Upper middle income,2/2/2022,7213990
Kazakhstan,2/20/2022,54073
French Polynesia,1/21/2022,506
Upper middle income,1/27/2022,9269808
Panama,1/11/2022,24492
Vanuatu,1/12/2022,736
Panama,2/4/2022,15698
Slovenia,1/5/2022,4342
Kosovo,1/1/2022,1509
Hong Kong,1/28/2022,45087
China,1/11/2022,6945286
Brunei,1/18/2022,2969
Bermuda,1/5/2022,221
Albania,1/29/2022,5471
Cyprus,2/11/2022,2479
Bolivia,1/13/2022,80795
Indonesia,1/25/2022,1252137
Japan,1/31/2022,300268
Tonga,1/12/2022,179
Croatia,1/6/2022,9799
Hong Kong,1/7/2022,34783
Fiji,1/24/2022,181
Malta,2/12/2022,1268
Iraq,1/2/2022,36884
United States,2/1/2022,612289
Cayman Islands,2/7/2022,50
Wales,2/9/2022,3377
Cayman Islands,1/12/2022,191
Bhutan,1/4/2022,415
Rwanda,1/14/2022,127901
Netherlands,1/3/2022,244350
Lower middle income,2/12/2022,9347072
Nicaragua,1/1/2022,28763
Sierra Leone,1/11/2022,1199
Andorra,1/11/2022,865
Dominica,1/2/2022,152
Spain,2/4/2022,133479
Suriname,2/2/2022,277
New Zealand,1/4/2022,11854
Togo,1/16/2022,4883
Spain,1/24/2022,226832
South America,2/9/2022,2118655
Greece,2/20/2022,22946
Mexico,1/8/2022,360885
Gibraltar,1/6/2022,17
Denmark,2/13/2022,3825
Venezuela,1/24/2022,126261
Hungary,2/16/2022,
Guyana,1/22/2022,1841
England,2/4/2022,69450
Solomon Islands,1/20/2022,891
Vietnam,1/26/2022,1075202
Central African Republic,1/24/2022,3605
Cote d'Ivoire,1/30/2022,35031
Greece,1/10/2022,71281
Indonesia,2/1/2022,1252137
Nepal,1/5/2022,219014
Uzbekistan,1/10/2022,90532
Rwanda,1/8/2022,127901
North Macedonia,2/4/2022,1014
Antigua and Barbuda,1/18/2022,106
New Zealand,2/8/2022,49673
Brazil,2/20/2022,1056444
Indonesia,1/24/2022,1252137
Europe,2/12/2022,1604198
Nauru,1/2/2022,2
Barbados,1/20/2022,186
Madagascar,1/28/2022,5727
Singapore,1/3/2022,41223
Azerbaijan,1/23/2022,20251
Saint Kitts and Nevis,2/17/2022,220
Nigeria,1/16/2022,188170
United Arab Emirates,2/4/2022,27479
South Korea,1/22/2022,322242
Malta,2/13/2022,1236
Romania,2/18/2022,7272
Saint Kitts and Nevis,1/5/2022,59
Eswatini,2/7/2022,1080
Malawi,1/2/2022,9132
Vanuatu,2/6/2022,399
Greenland,2/11/2022,14
Bermuda,2/17/2022,105
Albania,1/20/2022,5471
Faeroe Islands,2/11/2022,30
Barbados,1/14/2022,264
Bolivia,2/5/2022,35357
Uzbekistan,1/7/2022,60373
European Union,1/1/2022,2042918
Malta,1/27/2022,2670
Serbia,1/28/2022,4064
England,1/28/2022,86681
Sri Lanka,1/2/2022,104896
Iraq,1/24/2022,46804
Tonga,1/10/2022,231
Burundi,2/2/2022,62
North America,1/16/2022,2380930
Cook Islands,1/21/2022,5
Canada,1/29/2022,253899
Cote d'Ivoire,1/10/2022,20926
Guinea,1/15/2022,994
South Korea,2/7/2022,191212
United States,1/6/2022,942356
Aruba,1/24/2022,191
Namibia,1/2/2022,303
Hungary,2/9/2022,10536
Croatia,1/22/2022,12103
Saint Kitts and Nevis,2/8/2022,192
Trinidad and Tobago,2/11/2022,1532
Singapore,1/20/2022,39746
Solomon Islands,1/1/2022,680
Estonia,1/18/2022,4431
Poland,1/14/2022,194305
Malawi,1/8/2022,4194
Iceland,1/21/2022,2520
Spain,1/14/2022,237859
Faeroe Islands,2/12/2022,28
Germany,1/19/2022,575512
Austria,1/21/2022,34358
Saint Vincent and the Grenadines,1/26/2022,82
Malaysia,2/6/2022,71248
Sint Maarten (Dutch part),2/2/2022,62
India,1/13/2022,8846955
Colombia,1/5/2022,159173
Senegal,1/24/2022,4472
